propensao,nome,cnpj,porte,bairro,idade_anos,unidades,capital_social,telefone,arquetipo,capacidade,fit_ticket
0.8440,EDUARDO BURGEL PERIODONTIA E IMPLANTES,18.300.662/0001-42,DEMAIS,ASA NORTE,13,1,49000.0,(61) 30818888,marca_pessoal,0.61,1.0
0.8400,DF IMPLANTES,12.253.772/0001-14,DEMAIS,ASA SUL,16,1,20000.0,(61) 33462724,especialista_alto_ticket,0.6,1.0
0.8360,BLU ODONTOLOGIA,21.006.753/0001-84,DEMAIS,ASA NORTE,12,1,300000.0,(61) 39640691,clinica_geral,0.79,0.6
0.8360,ORTHOS AGUAS CLARAS ODONTOLOGIA S/S LTDA,11.438.113/0001-90,DEMAIS,AGUAS CLARAS,16,1,10000.0,(61) 39012000,especialista_alto_ticket,0.59,1.0
0.8340,COB CENTRO ODONTOLOGICO DE BRASILIA,20.320.346/0001-84,EPP,ASA SUL,12,2,210000.0,(61) 81759394,multi_unidade,0.81,0.6
0.8325,CENTRO ODONTOLOGICO IMPLANTAR,09.308.505/0001-92,EPP,SAMAMBAIA,18,1,100000.0,(61) 30371353,especialista_alto_ticket,0.75,1.0
0.8320,INSTITUTO ODONTOLOGICO RABELLO DE MORAIS,06.151.555/0001-10,EPP,ASA SUL,22,1,90000.0,(61) 34428113,clinica_institucional,0.78,0.6
0.8320,CARPE RISUS ODONTOLOGIA,07.815.088/0001-49,EPP,ASA NORTE,20,1,50000.0,(61) 95564939,clinica_geral,0.78,0.6
0.8320,AMBERGET ODONTOLOGIA,14.483.584/0001-08,DEMAIS,ASA NORTE,14,1,40000.0,(61) 33289342,especialista_alto_ticket,0.58,1.0
0.8320,PRO-SAUDE,10.867.723/0001-46,EPP,ASA NORTE,17,1,2000.0,(61) 30392199,especialista_alto_ticket,0.58,1.0
0.8285,REDE ODONTO,10.724.666/0001-46,EPP,GAMA,17,1,20000.0,(61) 32742184,especialista_alto_ticket,0.74,1.0
0.8280,DUTRA ORTODONTIA E ORTOPEDIA FUNCIONAL DOS MAXILARES LTDA,24.455.710/0001-74,DEMAIS,ASA NORTE,10,1,20000.0,(61) 33264530,especialista_alto_ticket,0.57,1.0
0.8280,CENTRO DE IMPLANTODONTIA AVANCADA,23.205.813/0001-13,DEMAIS,ASA SUL,11,1,10000.0,(61) 32261281,especialista_alto_ticket,0.57,1.0
0.8270,CEDRO CLINICA DE ESTETICA DENTAL E REABILITACAO ORAL,04.478.084/0001-24,EPP,ASA SUL,25,1,99800.0,(061) 3211799,especialista_alto_ticket,0.68,1.0
0.8245,ORTHO ART STUDIO,37.441.410/0001-88,EPP,ASA SUL,6,1,70000.0,(61) 32013212,especialista_alto_ticket,0.73,1.0
0.8240,021 DENTAL CONJUNTO NACIONAL BRASILIA ODONTOLOGIA,25.025.613/0001-04,EPP,ASA NORTE,10,1,80000.0,(61) 91951731,clinica_geral,0.76,0.6
0.8230,ESTETICA E PERIODONTIA BUCAL,00.254.275/0001-51,DEMAIS,ASA SUL,31,1,50000.0,(61) 33463545,especialista_alto_ticket,0.67,1.0
0.8205,ORTODONTIC CENTER,14.165.437/0001-90,EPP,SAMAMBAIA SUL,15,1,120000.0,(61) 33715965,especialista_alto_ticket,0.72,1.0
0.8200,HANDS ODONTOLOGIA,06.185.687/0001-63,EPP,ASA SUL,22,1,104500.0,(61) 81389847,clinica_institucional,0.75,0.6
0.8170,AQUARELA CENTRO DE ORTODONTIA,24.902.702/0001-29,EPP,ASA NORTE,38,2,10000.0,(61) 83830333,multi_unidade,0.68,1.0
